Scheme Name	Net Asset Value
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW	110.0708
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW	117.8666
Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW	105.5863
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW	154.4085
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW	113.4635
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW	103.3861
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW	114.0486
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW	104.5401
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth	375.9289
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth	564.3204
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth	390.6874
Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option	1532.8272
Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW	1039.0340
Axis Banking & PSU Debt Fund - Direct Plan - Growth Option	2790.3637
Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW	1037.3571
Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW	1038.8974
Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option	1289.4075
Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW	1039.0255
Axis Banking & PSU Debt Fund - Regular Plan - Growth option	2702.9958
Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW	1037.1500
Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW	1038.8634
Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW	10.9789
Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW	11.8181
Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth	11.6871
Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW	11.6871
Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth	11.8181
Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW	10.9098
Bandhan Banking and PSU Fund - Direct Annual IDCW	12.6307
Bandhan Banking and PSU Fund - Direct Daily IDCW	10.4766
Bandhan Banking and PSU Fund - Direct Fortnightly IDCW	10.4583
Bandhan Banking and PSU Fund - Direct Growth	25.9456
Bandhan Banking and PSU Fund - Direct IDCW	13.6481
Bandhan Banking and PSU Fund - Direct Monthly IDCW	10.4626
Bandhan Banking and PSU Fund - Direct Quarterly IDCW	11.0186
Bandhan Banking and PSU Fund - Regular Annual IDCW	11.6005
Bandhan Banking and PSU Fund - Regular Daily IDCW	10.8785
Bandhan Banking and PSU Fund - Regular Fortnightly IDCW	10.6139
Bandhan Banking and PSU Fund - Regular Growth	25.1808
Bandhan Banking and PSU Fund - Regular IDCW	13.5975
Bandhan Banking and PSU Fund - Regular Monthly IDCW	10.7056
Bandhan Banking and PSU Fund - Regular Quarterly IDCW	10.9141
Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option	12.4690
Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout	10.9853
Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option	12.3469
Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment)	10.8921
DSP Banking & PSU Debt Fund - Direct Plan - Growth	25.4989
DSP Banking & PSU Debt Fund - Direct Plan - IDCW	10.7533
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest	10.1863
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly	10.4154
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly	10.5051
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly	10.182
DSP Banking & PSU Debt Fund - Regular Plan - Growth	24.6003
DSP Banking & PSU Debt Fund - Regular Plan - IDCW	10.733
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest	10.1862
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly	10.4025
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly	10.4944
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly	10.1819
Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option	26.1606
Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option	19.0158
Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option	14.5042
Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option	10.94
Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option	10.5523
Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option	25.2168
Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option	18.1343
Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option	14.0327
Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option	11.1854
Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option	10.1471
Franklin India Banking & PSU Debt Fund - Direct - Growth	24.1447
Franklin India Banking & PSU Debt Fund - Growth	23.0820
Franklin India Banking and PSU Debt Fund - Direct - IDCW	11.6130
Franklin India Banking and PSU Debt Fund - IDCW	10.9822
HDFC Banking and PSU Debt Fund - Growth Option	23.5915
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan	24.6017
HDFC Banking and PSU Debt Fund - IDCW Option	10.1686
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan	10.0352
HSBC Banking and PSU Debt Fund - Direct Daily IDCW	11.1898
HSBC Banking and PSU Debt Fund - Direct Growth	26.2447
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW	11.3682
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW	10.3499
HSBC Banking and PSU Debt Fund - Regular Daily IDCW	11.115
HSBC Banking and PSU Debt Fund - Regular Growth	24.8855
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW	10.6087
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.3226
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	35.0738
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	13.1174
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth	33.6025
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	11.1000
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth	21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10.3305
Invesco India Banking and PSU Fund - Direct Plan -  Growth Option	2485.7538
Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment)	1064.2327
Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1013.8499
Invesco India Banking and PSU Fund - Regular Plan - Daily IDCW (Reinvestment)	1051.0928
Invesco India Banking and PSU Fund - Regular Plan - Growth Option	2318.3319
Invesco India Banking and PSU Fund - Regular Plan - Monthly IDCW (Payout / Reinvestment)	1064.7629
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option	13.6988
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option	13.7006
